"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"7","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"8","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-24",3,0.2,"specimen_orig_ident","orig.ident",0.000523834468308015
"1","HRA003620_BC-24",1,0.2,"specimen_orig_ident","orig.ident",0.000278318953520735
"2","HRA003620_BC-24",1,0.2,"specimen_orig_ident","orig.ident",0.000417188151856487
"3","HRA003620_BC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-24",2,0.2,"specimen_orig_ident","orig.ident",0.00159362549800797
"5","HRA003620_BC-24",1,0.2,"specimen_orig_ident","orig.ident",0.00112485939257593
"6","HRA003620_BC-24",2,0.2,"specimen_orig_ident","orig.ident",0.0034965034965035
"7","HRA003620_BC-24",5,0.2,"specimen_orig_ident","orig.ident",0.0110619469026549
"8","HRA003620_BC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-27",15,0.2,"specimen_orig_ident","orig.ident",0.00261917234154007
"1","HRA003620_BC-27",3,0.2,"specimen_orig_ident","orig.ident",0.000834956860562204
"2","HRA003620_BC-27",3,0.2,"specimen_orig_ident","orig.ident",0.00125156445556946
"3","HRA003620_BC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-27",5,0.2,"specimen_orig_ident","orig.ident",0.00398406374501992
"5","HRA003620_BC-27",7,0.2,"specimen_orig_ident","orig.ident",0.0078740157480315
"6","HRA003620_BC-27",3,0.2,"specimen_orig_ident","orig.ident",0.00524475524475524
"7","HRA003620_BC-27",8,0.2,"specimen_orig_ident","orig.ident",0.0176991150442478
"8","HRA003620_BC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-30",2,0.2,"specimen_orig_ident","orig.ident",0.00034922297887201
"1","HRA003620_BC-30",1,0.2,"specimen_orig_ident","orig.ident",0.000278318953520735
"2","HRA003620_BC-30",1,0.2,"specimen_orig_ident","orig.ident",0.000417188151856487
"3","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-30",2,0.2,"specimen_orig_ident","orig.ident",0.00159362549800797
"5","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"7","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"8","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_NC-04",39,0.2,"specimen_orig_ident","orig.ident",0.00680984808800419
"1","HRA003620_NC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-04",2,0.2,"specimen_orig_ident","orig.ident",0.000834376303712975
