"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"5","GSE326225_BC4",7,0.4,"orig.ident",0.00325884543761639
"6","GSE326225_BC4",1,0.4,"orig.ident",0.000717875089734386
"7","GSE326225_BC4",3,0.4,"orig.ident",0.0030241935483871
"8","GSE326225_BC4",33,0.4,"orig.ident",0.035031847133758
"9","GSE326225_BC4",8,0.4,"orig.ident",0.00951248513674197
"10","GSE326225_BC4",1,0.4,"orig.ident",0.00132275132275132
"11","GSE326225_BC4",20,0.4,"orig.ident",0.0384615384615385
"12","GSE326225_BC4",5,0.4,"orig.ident",0.0111111111111111
"13","GSE326225_BC4",3,0.4,"orig.ident",0.0201342281879195
"0","GSE326225_BC5",0,0.4,"orig.ident",0
"1","GSE326225_BC5",21,0.4,"orig.ident",0.00226928895612708
"2","GSE326225_BC5",2,0.4,"orig.ident",0.000617665225447807
"3","GSE326225_BC5",0,0.4,"orig.ident",0
"4","GSE326225_BC5",2,0.4,"orig.ident",0.000807102502017756
"5","GSE326225_BC5",0,0.4,"orig.ident",0
"6","GSE326225_BC5",0,0.4,"orig.ident",0
"7","GSE326225_BC5",0,0.4,"orig.ident",0
"8","GSE326225_BC5",8,0.4,"orig.ident",0.00849256900212314
"9","GSE326225_BC5",16,0.4,"orig.ident",0.0190249702734839
"10","GSE326225_BC5",0,0.4,"orig.ident",0
"11","GSE326225_BC5",3,0.4,"orig.ident",0.00576923076923077
"12","GSE326225_BC5",0,0.4,"orig.ident",0
"13","GSE326225_BC5",0,0.4,"orig.ident",0
"0","GSE326225_BC6",50,0.4,"orig.ident",0.00521104742053153
"1","GSE326225_BC6",197,0.4,"orig.ident",0.0212880916360493
"2","GSE326225_BC6",33,0.4,"orig.ident",0.0101914762198888
"3","GSE326225_BC6",42,0.4,"orig.ident",0.0132075471698113
"4","GSE326225_BC6",5,0.4,"orig.ident",0.00201775625504439
"5","GSE326225_BC6",26,0.4,"orig.ident",0.0121042830540037
"6","GSE326225_BC6",5,0.4,"orig.ident",0.00358937544867193
"7","GSE326225_BC6",13,0.4,"orig.ident",0.0131048387096774
"8","GSE326225_BC6",80,0.4,"orig.ident",0.0849256900212314
"9","GSE326225_BC6",8,0.4,"orig.ident",0.00951248513674197
"10","GSE326225_BC6",10,0.4,"orig.ident",0.0132275132275132
"11","GSE326225_BC6",32,0.4,"orig.ident",0.0615384615384615
"12","GSE326225_BC6",6,0.4,"orig.ident",0.0133333333333333
"13","GSE326225_BC6",0,0.4,"orig.ident",0
"0","GSE326225_BC7",8,0.4,"orig.ident",0.000833767587285044
"1","GSE326225_BC7",19,0.4,"orig.ident",0.00205316619840069
"2","GSE326225_BC7",4,0.4,"orig.ident",0.00123533045089561
"3","GSE326225_BC7",6,0.4,"orig.ident",0.00188679245283019
"4","GSE326225_BC7",2,0.4,"orig.ident",0.000807102502017756
"5","GSE326225_BC7",1,0.4,"orig.ident",0.000465549348230912
"6","GSE326225_BC7",0,0.4,"orig.ident",0
"7","GSE326225_BC7",0,0.4,"orig.ident",0
"8","GSE326225_BC7",11,0.4,"orig.ident",0.0116772823779193
