"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"1","PRJNA662018_PRJNA662018_P3N3",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P3N3",84,0.2,"orig.ident",0.00485942381117668
"3","PRJNA662018_PRJNA662018_P3N3",105,0.2,"orig.ident",0.00929203539823009
"4","PRJNA662018_PRJNA662018_P3N3",119,0.2,"orig.ident",0.0107081796094664
"5","PRJNA662018_PRJNA662018_P3N3",0,0.2,"orig.ident",0
"6","PRJNA662018_PRJNA662018_P3N3",105,0.2,"orig.ident",0.0177755205688167
"7","PRJNA662018_PRJNA662018_P3N3",0,0.2,"orig.ident",0
"singleton","PRJNA662018_PRJNA662018_P3N3",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P3T3",941,0.2,"orig.ident",0.0231096048527714
"1","PRJNA662018_PRJNA662018_P3T3",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P3T3",148,0.2,"orig.ident",0.00856184195302557
"3","PRJNA662018_PRJNA662018_P3T3",136,0.2,"orig.ident",0.0120353982300885
"4","PRJNA662018_PRJNA662018_P3T3",442,0.2,"orig.ident",0.0397732385494466
"5","PRJNA662018_PRJNA662018_P3T3",0,0.2,"orig.ident",0
"6","PRJNA662018_PRJNA662018_P3T3",161,0.2,"orig.ident",0.0272557982055189
"7","PRJNA662018_PRJNA662018_P3T3",0,0.2,"orig.ident",0
"singleton","PRJNA662018_PRJNA662018_P3T3",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P4T4",861,0.2,"orig.ident",0.0211449200618876
"1","PRJNA662018_PRJNA662018_P4T4",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P4T4",823,0.2,"orig.ident",0.0476107832928381
"3","PRJNA662018_PRJNA662018_P4T4",271,0.2,"orig.ident",0.0239823008849558
"4","PRJNA662018_PRJNA662018_P4T4",427,0.2,"orig.ident",0.0384234680104382
"5","PRJNA662018_PRJNA662018_P4T4",0,0.2,"orig.ident",0
"6","PRJNA662018_PRJNA662018_P4T4",144,0.2,"orig.ident",0.0243778567800914
"7","PRJNA662018_PRJNA662018_P4T4",0,0.2,"orig.ident",0
"singleton","PRJNA662018_PRJNA662018_P4T4",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P5T5",131,0.2,"orig.ident",0.00321717134507232
"1","PRJNA662018_PRJNA662018_P5T5",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P5T5",11,0.2,"orig.ident",0.000636353118130279
"3","PRJNA662018_PRJNA662018_P5T5",3,0.2,"orig.ident",0.000265486725663717
"4","PRJNA662018_PRJNA662018_P5T5",5,0.2,"orig.ident",0.00044992351300279
