"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"10","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"11","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"1","CNP0000460_P04T",15,0.2,"specimen_orig_ident","orig.ident",0.00377548452051347
"2","CNP0000460_P04T",7,0.2,"specimen_orig_ident","orig.ident",0.00221799746514575
"3","CNP0000460_P04T",9,0.2,"specimen_orig_ident","orig.ident",0.00288831835686778
"4","CNP0000460_P04T",4,0.2,"specimen_orig_ident","orig.ident",0.00183823529411765
"5","CNP0000460_P04T",13,0.2,"specimen_orig_ident","orig.ident",0.0125361620057859
"6","CNP0000460_P04T",3,0.2,"specimen_orig_ident","orig.ident",0.00294406280667321
"7","CNP0000460_P04T",1,0.2,"specimen_orig_ident","orig.ident",0.00145985401459854
"8","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P04T",4,0.2,"specimen_orig_ident","orig.ident",0.0118694362017804
"10","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"11","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P05N",289,0.2,"specimen_orig_ident","orig.ident",0.0270573916299972
"1","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"3","CNP0000460_P05N",8,0.2,"specimen_orig_ident","orig.ident",0.00256739409499358
"4","CNP0000460_P05N",20,0.2,"specimen_orig_ident","orig.ident",0.00919117647058824
"5","CNP0000460_P05N",111,0.2,"specimen_orig_ident","orig.ident",0.107039537126326
"6","CNP0000460_P05N",26,0.2,"specimen_orig_ident","orig.ident",0.0255152109911678
"7","CNP0000460_P05N",21,0.2,"specimen_orig_ident","orig.ident",0.0306569343065693
"8","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P05N",13,0.2,"specimen_orig_ident","orig.ident",0.0385756676557863
"10","CNP0000460_P05N",4,0.2,"specimen_orig_ident","orig.ident",0.012012012012012
"11","CNP0000460_P05N",7,0.2,"specimen_orig_ident","orig.ident",0.0288065843621399
"12","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P05T",8,0.2,"specimen_orig_ident","orig.ident",0.000748993539930718
"1","CNP0000460_P05T",62,0.2,"specimen_orig_ident","orig.ident",0.0156053360181223
"2","CNP0000460_P05T",19,0.2,"specimen_orig_ident","orig.ident",0.00602027883396705
"3","CNP0000460_P05T",92,0.2,"specimen_orig_ident","orig.ident",0.0295250320924262
"4","CNP0000460_P05T",12,0.2,"specimen_orig_ident","orig.ident",0.00551470588235294
"5","CNP0000460_P05T",23,0.2,"specimen_orig_ident","orig.ident",0.0221793635486982
"6","CNP0000460_P05T",3,0.2,"specimen_orig_ident","orig.ident",0.00294406280667321
"7","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P05T",6,0.2,"specimen_orig_ident","orig.ident",0.0178041543026706
"10","CNP0000460_P05T",3,0.2,"specimen_orig_ident","orig.ident",0.00900900900900901
"11","CNP0000460_P05T",4,0.2,"specimen_orig_ident","orig.ident",0.0164609053497942
"12","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P06T",12,0.2,"specimen_orig_ident","orig.ident",0.00112349030989608
"1","CNP0000460_P06T",38,0.2,"specimen_orig_ident","orig.ident",0.00956456078530078
"2","CNP0000460_P06T",13,0.2,"specimen_orig_ident","orig.ident",0.0041191381495564
"3","CNP0000460_P06T",23,0.2,"specimen_orig_ident","orig.ident",0.00738125802310655
"4","CNP0000460_P06T",14,0.2,"specimen_orig_ident","orig.ident",0.00643382352941176
"5","CNP0000460_P06T",6,0.2,"specimen_orig_ident","orig.ident",0.00578592092574735
"6","CNP0000460_P06T",10,0.2,"specimen_orig_ident","orig.ident",0.0098135426889107
"7","CNP0000460_P06T",1,0.2,"specimen_orig_ident","orig.ident",0.00145985401459854
"8","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
